動物園,,,100,名詞,一般,*,*,*,*,動物園,動物園,動物園
スカイツリー,,,100,名詞,固有名詞,一般,*,*,*,スカイツリー,スカイツリー,スカイツリー
渋谷駅,,,100,名詞,固有名詞,一般,*,*,*,渋谷駅,渋谷駅,渋谷駅
市役所,,,100,名詞,一般,*,*,*,*,市役所,市役所,市役所
仙台,,,100,名詞,固有名詞,地域,一般,*,*,仙台,仙台,仙台
清水寺,,,100,名詞,固有名詞,地域,一般,*,*,清水寺,清水寺,清水寺
改札,,,100,名詞,一般,*,*,*,*,改札,改札,改札
交差点,,,100,名詞,一般,*,*,*,*,交差点,交差点,交差点
秋葉原,,,100,名詞,固有名詞,地域,一般,*,*,秋葉原,秋葉原,秋葉原
病院,,,100,名詞,一般,*,*,*,*,病院,病院,病院
